description,link,pubDate,title
環境及生態局局長謝展寰下午出席立法會環境事務委員會會議，交代實施垃圾徵費準備工作的進展。 根據局方向立法會提交的文件，當局表示，留意到社會最近對垃圾收費如何執行及相關細節有不少討論及關注，認為要成功推行，市民對計劃的充分了解和積極參與十分重要，因此已宣布推遲政策的法定生效日期，而政府部門及部分樓宇會於4月1日先行先試。 局方表示，屆時會安排在政府部門大樓實地展示如何實施垃圾收費，讓社會了解有關操作和細節，政府部門需付費購買指定袋及標籤。當局亦會物色一些其他樓宇實地展示，這些參與住宅樓宇則由政府免費提供指定袋及標籤。環保署將於未來一兩個月，到全港各區區議會解說政策。 局方表示，承諾垃圾徵費生效後首6個月設適應期，鼓勵市民改變行為習慣，期間對違規人士會盡量給予口頭警告而非執法。前線人員會在相關廢物收集點巡視，亦會根據投訴和情報，制訂違法黑點名單並加強巡查。適應期結束後，當局會以風險為本的模式執法，尤其會留意違法黑點，定期巡查和突擊行動，並採取執法行動。,https://hk.news.yahoo.com/%E7%95%B6%E5%B1%80%E7%A8%B1%E5%9E%83%E5%9C%BE%E5%BE%B5%E8%B2%BB%E7%94%9F%E6%95%88%E5%BE%8C6%E5%80%8B%E6%9C%88%E9%81%A9%E6%87%89%E6%9C%9F-%E5%B0%8D%E9%81%95%E8%A6%8F%E8%80%85%E7%9B%A1%E9%87%8F%E5%8F%A3%E9%A0%AD%E8%AD%A6%E5%91%8A%E9%9D%9E%E5%9F%B7%E6%B3%95-045522086.html,"Mon, 22 Jan 2024 04:55:22 +0800",當局稱垃圾徵費生效後6個月適應期　對違規者盡量口頭警告非執法
警方打擊採取行動打擊「詐騙」和「洗黑錢」罪案，共拘捕219人，年齡介乎17至77歲，大部份是傀儡戶口持有人。警方亦拘捕包2男1女，他們涉嫌透過網上平台，以1千至數千元不等利誘他人，賣出或租借銀行帳戶用來接收騙款。 行動涉及146宗騙案，損失金額由500元至1900萬元不等，累計總失款額超過5億元，被捕的傀儡戶口持有人處理了其中6千萬元騙款。 港島總區重案組總督察林嘉澄表示，今次受害人數高達558人，最年輕的只有17歲，年紀最大的是80歲，有人被騙零用錢，有人損失全副身家，他們包括墮入網上購物騙案、投資騙案等，不少受害人都是高學歷、高收入人士，包括會計師、核數師、銀行經理、投資顧問、法律從業員等，反映任何背景的人士都可能成為騙徒落手對象。 港島總區重案組高級督察洪諭因表示，今次行動目標主要是針對傀儡戶口持有人，雖然他們未必直接參與騙案，但借出或賣出自己的銀行戶口，是便利詐騙集團轉移騙款，狼狽為奸，成為詐騙集團的幫兇。 港島總區防止罪案辦公室總督察胡敏怡說，今次最大單一宗案件的受害人是一名36歲的軟件工程師，他誤墮投資騙案，損失1900萬元。另一名70歲菜檔檔主，誤墮假扮內地官員騙案，損失,https://hk.news.yahoo.com/%E8%AD%A6%E6%8B%98%E9%80%BE%E4%BA%8C%E7%99%BE%E4%BA%BA%E6%B6%89%E8%A9%90%E9%A8%99%E5%8F%8A%E6%B4%97%E9%BB%91%E9%8C%A2-%E4%B8%8D%E5%B0%91%E5%8F%97%E5%AE%B3%E4%BA%BA%E5%B1%AC%E9%AB%98%E5%AD%B8%E6%AD%B7%E6%9C%89%E4%BA%BA%E5%A4%B1%E5%85%A8%E5%89%AF%E8%BA%AB%E5%AE%B6-045051304.html,"Mon, 22 Jan 2024 04:50:51 +0800",警拘逾二百人涉詐騙及洗黑錢　不少受害人屬高學歷有人失全副身家
【on.cc東網專訊】新一份財政預算案下月發布，立法會「C15+」今（22日）提交預算案建議，有議員指預算案要就急速人口改變做好計劃和部署，要未雨綢繆，不能「臨渴先來掘井」，至於早前有風聲指政府要開立資本增值稅，議員直言不支持，因社會和經濟不符合條件，稱所有窒礙,https://hk.news.yahoo.com/%E5%B7%A8%E5%A4%A7%E8%B2%A1%E8%B5%A4-%E8%AD%B0%E5%93%A1%E4%BF%83%E5%85%A8%E9%9D%A2%E6%92%A4%E8%BE%A3-%E5%A4%A7%E5%B6%BC%E5%8C%97%E9%83%BD%E7%99%BC%E5%B1%95%E8%A6%81%E5%88%86%E5%85%88%E5%BE%8C-044852292.html,"Mon, 22 Jan 2024 04:48:52 +0800",巨大財赤　議員促全面撤辣　大嶼北都發展要分先後
本港氣溫驟降，寒冷天氣警告現正生效，天文台預測明日市區氣溫跌至最低7度，新界再低兩三度，高地可能會結冰。 有老人科醫生表示，長者如果穿不夠衣服，血壓會升高，容易誘發中風及心臟疾病，提醒長者要注意保暖。,https://hk.news.yahoo.com/%E5%A4%A9%E6%96%87%E5%8F%B0%E6%96%99%E6%98%8E%E6%97%A5%E5%B8%82%E5%8D%80%E4%BD%8E%E8%A6%8B7%E5%BA%A6-%E6%9C%89%E9%86%AB%E7%94%9F%E6%8F%90%E9%86%92%E9%95%B7%E8%80%85%E6%B3%A8%E6%84%8F%E4%BF%9D%E6%9A%96-044248629.html,"Mon, 22 Jan 2024 04:42:48 +0800",天文台料明日市區低見7度　有醫生提醒長者注意保暖
警方新界南總區推出計劃，與社區不同持份者合作，向「港漂」人士推廣防騙信息。 警方表示，內地生墮入詐騙案的情況令人憂慮，其中7至10月是高峰期，調查工作也有難度。警方在開學前後聯同各院校舉辦分享會，為內地生提供防騙資訊，也加強提醒教職員，留意異常情況，其後情況有改善。,https://hk.news.yahoo.com/%E8%AD%A6%E6%96%B9%E6%8E%A8%E8%A8%88%E5%8A%83%E5%90%91-%E6%B8%AF%E6%BC%82-%E4%BA%BA%E5%A3%AB%E6%8E%A8%E5%BB%A3%E9%98%B2%E9%A8%99%E4%BF%A1%E6%81%AF-044022353.html,"Mon, 22 Jan 2024 04:40:22 +0800",警方推計劃向「港漂」人士推廣防騙信息
垃圾收費推遲至8月1日實施，政府部門和相關樓宇4月1日起試行。環境及生態局局長謝展寰表示，並非無故煞停措施，而是用較好方式，更多時間解釋清楚，又說社會需時改變習慣，其他地方一般都需要3至5年時間去改變。 有物業管理業界估計，屋苑的清潔費平均會增加約14%至15%，需要透過討論及解說，讓業主了解為何要增加清潔費。,https://hk.news.yahoo.com/%E8%AC%9D%E5%B1%95%E5%AF%B0-%E9%9D%9E%E7%84%A1%E6%95%85%E7%85%9E%E5%81%9C%E5%9E%83%E5%9C%BE%E6%94%B6%E8%B2%BB%E6%8E%AA%E6%96%BD-%E9%9C%80%E6%9B%B4%E5%A4%9A%E6%99%82%E9%96%93%E8%A7%A3%E9%87%8B%E6%B8%85%E6%A5%9A-043637100.html,"Mon, 22 Jan 2024 04:36:37 +0800",謝展寰：非無故煞停垃圾收費措施　需更多時間解釋清楚
【on.cc東網專訊】12名香港人蛇於2020年8月企圖乘船偷渡到台灣，途中被內地海警拘捕，當中11人早前先後由內地移交香港。餘下的鄧棨然，則因組織他人偷越邊境罪成，於內地被判監3年。刑滿出獄後，鄧由內地當局移交香港執法部門，並就原面對的藏汽油彈案，及因潛逃而加,https://hk.news.yahoo.com/%E6%89%BF%E8%AA%8D%E7%AE%A1%E6%9C%89%E7%89%A9%E5%93%81%E6%84%8F%E5%9C%96%E6%91%A7%E6%AF%80%E6%88%96%E6%90%8D%E5%A3%9E%E8%B2%A1%E7%94%A2%E7%BD%AA-12%E9%A6%99%E6%B8%AF%E4%BA%BA%E8%9B%87%E4%B9%8B-%E9%84%A7%E6%A3%A8%E7%84%B6%E5%80%99%E5%88%A4-035024877.html,"Mon, 22 Jan 2024 03:50:24 +0800",承認管有物品意圖摧毀或損壞財產罪　12香港人蛇之一鄧棨然候判
【on.cc東網專訊】香港大學醫學院內科學系傳染病主任及講座教授孔繁毅表示，最近一兩個月出現的新冠變種毒株JN.1與XBB變種病毒毒株，都以輕症為多，感染後的病徵與感冒等其他上呼吸道病毒感染類似，但新型的JN.1毒株對現有疫苗發揮的作用降低，並且免疫逃逸嚴重，傳,https://hk.news.yahoo.com/%E6%96%B0%E5%86%A0%E8%AE%8A%E7%A8%AE%E6%AF%92%E6%A0%AAjn-1%E5%82%B3%E6%9F%93%E6%80%A7%E8%BC%83%E5%BC%B7-%E5%AD%94%E7%B9%81%E6%AF%85-%E5%85%8D%E7%96%AB%E9%80%83%E9%80%B8%E5%9A%B4%E9%87%8D-032706109.html,"Mon, 22 Jan 2024 03:27:06 +0800",新冠變種毒株JN.1傳染性較強　孔繁毅：免疫逃逸嚴重
【on.cc東網專訊】雖然去年施政報告提出樓市「減辣」，但樓市交易量仍低，商界及地產業界早前已紛紛要求政府全面「撤辣」。再有政商界人士建議下月底發表的新一份財政預算案宣布全面撤銷樓市辣招。他又指有關官員似乎仍不願正面回應社會的訴求，香港仍有很多年輕人及家庭希望置,https://hk.news.yahoo.com/%E8%B3%87%E9%87%91%E5%A4%96%E6%B5%81-%E6%A8%93%E5%B8%82%E8%90%8E%E7%B8%AE-%E6%94%BF%E5%95%86%E7%95%8C%E4%BF%83%E9%A0%90%E7%AE%97%E6%A1%88%E5%85%A8%E9%9D%A2%E6%92%A4%E8%BE%A3-032457664.html,"Mon, 22 Jan 2024 03:24:57 +0800",資金外流　樓市萎縮　政商界促預算案全面撤辣
全國僑聯前副主席盧文端建議，下月28日發表的《財政預算案》全面撤銷樓市辣招。 盧文端在報章撰文，提到目前香港房地產業陷於困境，面對嚴峻的經濟環境，樓市政策是時候作出重大改變，預算案應該從提振整體經濟的層面，全面撤銷樓市辣招，進一步釐清調整房地策政策。 他指出辣招是十多年前引入的「需求管理」措施，但現在的問題不是供應短缺，而是需求萎縮，政府沒有必要堅持過時的措施，強調撤辣不是優惠政策甚至公帑資助買樓，亦非「托市」。 盧文端又提出，本港要部署爭取包括西方資金的國際金融資本來港、留港。他認為資金持續外流，金融市場成交萎縮，如何吸引外資來港是香港迫切要解決的問題，香港作為中國金融的門戶，有必要推動與西方的金融往來，預算案需要提出具體措施，並作出政策配合。 他又期望加強預算案編製的領導工作，確保落實行政長官施政藍圖，回應社會克服經濟困難的訴求。,https://hk.news.yahoo.com/%E7%9B%A7%E6%96%87%E7%AB%AF%E5%BB%BA%E8%AD%B0%E4%B8%8B%E6%9C%88%E7%99%BC%E8%A1%A8%E8%B2%A1%E6%94%BF%E9%A0%90%E7%AE%97%E6%A1%88%E5%85%A8%E9%9D%A2%E6%92%A4%E9%8A%B7%E6%A8%93%E5%B8%82%E8%BE%A3%E6%8B%9B-031026192.html,"Mon, 22 Jan 2024 03:10:26 +0800",盧文端建議下月發表財政預算案全面撤銷樓市辣招
【on.cc東網專訊】葵涌發生火警。今日(22日)早上11時02分，貨櫃碼頭路1至7號現代貨箱碼頭，有貨物突然起火，大量濃煙席捲半空。消防接報到場，派出一隊煙帽隊開動一條喉灌救，其後將火救熄，經初步調查後，相信其中一個貨櫃內有貨物失火，起火原因無可疑。,https://hk.news.yahoo.com/%E8%91%B5%E6%B6%8C%E8%B2%A8%E6%AB%83%E7%A2%BC%E9%A0%AD%E8%B2%A8%E7%89%A9%E8%B5%B7%E7%81%AB-%E6%BF%83%E7%85%99%E5%B8%AD%E6%8D%B2%E5%8D%8A%E7%A9%BA%E5%B7%A5%E4%BA%BA%E7%96%8F%E6%95%A3-030740432.html,"Mon, 22 Jan 2024 03:07:40 +0800",葵涌貨櫃碼頭貨物起火　濃煙席捲半空一工人不適送院
【on.cc東網專訊】港島區執法部門於本月8日至21日，展開代號「穿雲」行動，打擊區內詐騙活動，期間偵破共146宗詐騙及洗黑錢案件，涉及網購、釣魚訊息、投資、求職及電話騙案等，558名受害人一共損失逾5億港元。行動中，人員一共拘捕157男62女(17至77歲)，,https://hk.news.yahoo.com/%E6%89%93%E6%93%8A%E6%B8%AF%E5%B3%B6%E8%A9%90%E9%A8%99%E5%8F%8A%E6%B4%97%E9%BB%91%E9%8C%A2%E6%A1%88-%E6%8B%98219%E4%BA%BA%E5%8C%85%E6%8B%AC%E5%82%80%E5%84%A1%E6%88%B6%E5%8F%A3%E8%B2%B7%E6%89%8B-030024859.html,"Mon, 22 Jan 2024 03:00:24 +0800",港島146宗詐騙及洗錢案涉5億　拘219人包括傀儡戶口買手
【on.cc東網專訊】今晨(22日)9時59分，八鄉水尾路有村民報案，指村內山墳範圍有多個金塔被破壞。執法人員接報到場，將損毀金塔拍照紀錄，初步將案列作「刑事毀壞」跟進，暫未有人被捕。,https://hk.news.yahoo.com/%E5%85%AB%E9%84%89%E5%B1%B1%E5%A2%B3%E5%A4%9A%E5%80%8B%E9%87%91%E5%A1%94%E6%90%8D%E6%AF%80-%E5%88%97%E5%88%91%E6%AF%80%E8%B7%9F%E9%80%B2-030011848.html,"Mon, 22 Jan 2024 03:00:11 +0800",八鄉山墳多個金塔損毀　列刑毀跟進
對於網上有人質疑指定垃圾袋是否耐用及容易破爛，環境及生態局局長謝展寰在一個電台節目表示，網上流傳片段中的垃圾袋，並非垃圾收費時用的指定垃圾袋，當局亦拍了片解釋，指定垃圾袋與外間所用的垃圾袋一樣穩陣，但當局片段推出後，又有人反問指定垃圾袋是否強靭如「子彈都打不穿」，他說並非如此，只是與市民一般用開的垃圾袋沒有分別，相信稍後當市民用過、摸過之後，就不會再有疑問。 對於措施將於4月1日先在政府部門和相關樓宇試行，被問到在醫管局或房署轄下的公屋等地方是否包括在內，謝展寰說試行階段不用太心急，不用全港一起做，政府會先行先試，正物色一些政府大樓試行，之後亦會物色一些大廈或住宅樓宇試行作示範。,https://hk.news.yahoo.com/%E8%AC%9D%E5%B1%95%E5%AF%B0%E7%A8%B1%E6%8C%87%E5%AE%9A%E8%A2%8B%E8%88%87-%E8%88%AC%E5%9E%83%E5%9C%BE%E8%A2%8B%E6%B2%92%E6%9C%89%E5%88%86%E5%88%A5-%E5%B8%82%E6%B0%91%E7%94%A8%E9%81%8E%E5%B0%B1%E4%B8%8D%E6%9C%83%E5%86%8D%E6%9C%89%E7%96%91%E5%95%8F-023955069.html,"Mon, 22 Jan 2024 02:39:55 +0800",謝展寰稱指定袋與一般垃圾袋沒有分別　市民用過就不會再有疑問
美國佛羅里達州州長德桑蒂斯宣布，退出2024年美國總統競選，並同時宣布支持前總統特朗普再入主白宮。 德桑蒂斯表示，看不出一條明確通往勝利之路，又說多數共和黨選民明顯希望再給特朗普一次機會。 德桑蒂斯表示，與特朗普在一些政策存在分歧，但特朗普仍然優於現任總統拜登。 特朗普在一個造勢活動上讚揚德桑蒂斯是一個了不起的人。 德桑蒂斯退選後，美國前常駐聯合國代表黑莉將成為特朗普的主要對手。 黑莉則說，自己是唯一能夠擊敗現任總統拜登的人。 共和黨第二場初選在新罕布什爾州舉行，最新的民調顯示，德桑蒂斯在當地的支持率只有單位數。,https://hk.news.yahoo.com/%E5%BE%B7%E6%A1%91%E8%92%82%E6%96%AF%E9%80%80%E9%81%B8%E4%B8%A6%E6%94%AF%E6%8C%81%E7%89%B9%E6%9C%97%E6%99%AE-%E7%89%B9%E6%9C%97%E6%99%AE%E8%AE%9A%E6%8F%9A%E5%B0%8D%E6%96%B9%E4%BA%86%E4%B8%8D%E8%B5%B7-020712000.html,"Mon, 22 Jan 2024 02:07:12 +0800",德桑蒂斯退選並支持特朗普　特朗普讚揚對方了不起
